Date,Index Identifier,Yield Change
2022-01-04,Daily Change in Fin,0.009708738
2022-01-05,Daily Change in Fin,0.019230769
2022-01-06,Daily Change in Fin,0.018867925
2022-01-07,Daily Change in Fin,0.009259259
2022-01-10,Daily Change in Fin,0.013761468
2022-01-11,Daily Change in Fin,-0.009049774
2022-01-12,Daily Change in Fin,-0.00456621
2022-01-13,Daily Change in Fin,0
2022-01-14,Daily Change in Fin,0.032110092
2022-01-18,Daily Change in Fin,0.035555556
2022-01-19,Daily Change in Fin,-0.017167382
2022-01-20,Daily Change in Fin,0.008733624
2022-01-21,Daily Change in Fin,-0.017316017
2022-01-24,Daily Change in Fin,0.004405286
2022-01-25,Daily Change in Fin,0.013157895
2022-01-26,Daily Change in Fin,0.012987013
2022-01-27,Daily Change in Fin,0.017094017
2022-01-28,Daily Change in Fin,0.004201681
2022-01-31,Daily Change in Fin,0
2022-02-01,Daily Change in Fin,0
2022-02-02,Daily Change in Fin,-0.008368201
2022-02-03,Daily Change in Fin,0.029535865
2022-02-04,Daily Change in Fin,0.049180328
2022-02-07,Daily Change in Fin,-0.0078125
2022-02-08,Daily Change in Fin,0.011811024
2022-02-09,Daily Change in Fin,-0.011673152
2022-02-10,Daily Change in Fin,0.05511811
2022-02-11,Daily Change in Fin,-0.007462687
2022-02-14,Daily Change in Fin,0.018796992
2022-02-15,Daily Change in Fin,0.007380074
2022-02-16,Daily Change in Fin,0.007326007
2022-02-17,Daily Change in Fin,-0.007272727
2022-02-18,Daily Change in Fin,-0.003663004
2022-02-22,Daily Change in Fin,0.025735294
2022-02-23,Daily Change in Fin,0.007168459
2022-02-24,Daily Change in Fin,0.010676157
2022-02-25,Daily Change in Fin,-0.003521127
2022-02-28,Daily Change in Fin,-0.042402827
2022-03-01,Daily Change in Fin,-0.033210332
2022-03-02,Daily Change in Fin,0.061068702
2022-03-03,Daily Change in Fin,-0.003597122
2022-03-04,Daily Change in Fin,-0.007220217
2022-03-07,Daily Change in Fin,0.036363636
2022-03-08,Daily Change in Fin,0.049122807
2022-03-09,Daily Change in Fin,0.013377926
2022-03-10,Daily Change in Fin,0.02640264
2022-03-11,Daily Change in Fin,0.006430868
2022-03-14,Daily Change in Fin,0.038338658
2022-03-15,Daily Change in Fin,0.003076923
2022-03-16,Daily Change in Fin,-0.006134969
2022-03-17,Daily Change in Fin,-0.024691358
2022-03-18,Daily Change in Fin,-0.009493671
2022-03-21,Daily Change in Fin,0.041533546
2022-03-22,Daily Change in Fin,0.009202454
2022-03-23,Daily Change in Fin,-0.018237082
2022-03-24,Daily Change in Fin,0.012383901
2022-03-25,Daily Change in Fin,0.039755352
2022-03-28,Daily Change in Fin,-0.005882353
2022-03-29,Daily Change in Fin,-0.026627219
2022-03-30,Daily Change in Fin,-0.015197568
2022-03-31,Daily Change in Fin,-0.00617284
2022-04-01,Daily Change in Fin,0.02484472
2022-04-04,Daily Change in Fin,0.003030303
2022-04-05,Daily Change in Fin,0.027190332
2022-04-06,Daily Change in Fin,0.014705882
2022-04-07,Daily Change in Fin,0.002898551
2022-04-08,Daily Change in Fin,0.023121387
2022-04-11,Daily Change in Fin,0.014124294
2022-04-12,Daily Change in Fin,-0.011142061
2022-04-13,Daily Change in Fin,0
2022-04-14,Daily Change in Fin,0.028169014
2022-04-18,Daily Change in Fin,0.010958904
2022-04-19,Daily Change in Fin,0.01897019
2022-04-20,Daily Change in Fin,-0.010638298
2022-04-21,Daily Change in Fin,0.029569892
2022-04-22,Daily Change in Fin,0.010443864
2022-04-25,Daily Change in Fin,-0.018087855
2022-04-26,Daily Change in Fin,-0.013157895
2022-04-27,Daily Change in Fin,0.008
2022-04-28,Daily Change in Fin,0.018518519
2022-04-29,Daily Change in Fin,0.012987013
2022-05-02,Daily Change in Fin,0.025641026
2022-05-03,Daily Change in Fin,-0.0075
2022-05-04,Daily Change in Fin,-0.020151134
2022-05-05,Daily Change in Fin,0.020565553
2022-05-06,Daily Change in Fin,0.017632242
2022-05-09,Daily Change in Fin,-0.002475248
2022-05-10,Daily Change in Fin,-0.009925558
2022-05-11,Daily Change in Fin,-0.012531328
2022-05-12,Daily Change in Fin,-0.015228426
2022-05-13,Daily Change in Fin,0.025773196
2022-05-16,Daily Change in Fin,-0.007537688
2022-05-17,Daily Change in Fin,0.025316456
2022-05-18,Daily Change in Fin,-0.009876543
2022-05-19,Daily Change in Fin,-0.002493766
2022-05-20,Daily Change in Fin,-0.0075
2022-05-23,Daily Change in Fin,0.007556675
2022-05-24,Daily Change in Fin,-0.0275
2022-05-25,Daily Change in Fin,-0.017994859
2022-05-26,Daily Change in Fin,-0.013089005
2022-05-27,Daily Change in Fin,0
2022-05-31,Daily Change in Fin,0.01061008
2022-06-01,Daily Change in Fin,0.023622047
2022-06-02,Daily Change in Fin,-0.005128205
2022-06-03,Daily Change in Fin,0.012886598
2022-06-06,Daily Change in Fin,0.015267176
2022-06-07,Daily Change in Fin,-0.007518797
2022-06-08,Daily Change in Fin,0.01010101
2022-06-09,Daily Change in Fin,0.01
2022-06-10,Daily Change in Fin,0.042079208
2022-06-13,Daily Change in Fin,0.06175772
2022-06-14,Daily Change in Fin,0.024608501
2022-06-15,Daily Change in Fin,-0.021834061
2022-06-16,Daily Change in Fin,-0.006696429
2022-06-17,Daily Change in Fin,-0.002247191
2022-06-21,Daily Change in Fin,0.009009009
2022-06-22,Daily Change in Fin,-0.015625
2022-06-23,Daily Change in Fin,-0.011337868
2022-06-24,Daily Change in Fin,0.006880734
2022-06-27,Daily Change in Fin,0.013667426
2022-06-28,Daily Change in Fin,0.006741573
2022-06-29,Daily Change in Fin,-0.015625
2022-06-30,Daily Change in Fin,-0.015873016
2022-07-01,Daily Change in Fin,-0.006912442
2022-07-05,Daily Change in Fin,-0.011600928
2022-07-06,Daily Change in Fin,0.021126761
2022-07-07,Daily Change in Fin,0.006896552
2022-07-08,Daily Change in Fin,0.011415525
2022-07-11,Daily Change in Fin,-0.015801354
2022-07-12,Daily Change in Fin,-0.004587156
2022-07-13,Daily Change in Fin,0.006912442
2022-07-14,Daily Change in Fin,0.009153318
2022-07-15,Daily Change in Fin,-0.006802721
2022-07-18,Daily Change in Fin,0
2022-07-19,Daily Change in Fin,0.01369863
2022-07-20,Daily Change in Fin,0
2022-07-21,Daily Change in Fin,-0.031531532
2022-07-22,Daily Change in Fin,-0.027906977
2022-07-25,Daily Change in Fin,0.016746411
2022-07-26,Daily Change in Fin,0.002352941
2022-07-27,Daily Change in Fin,-0.018779343
2022-07-28,Daily Change in Fin,-0.011961722
2022-07-29,Daily Change in Fin,-0.004842615
2022-08-01,Daily Change in Fin,-0.00486618
2022-08-02,Daily Change in Fin,0.031784841
2022-08-03,Daily Change in Fin,0
2022-08-04,Daily Change in Fin,-0.014218009
2022-08-05,Daily Change in Fin,0.038461538
2022-08-08,Daily Change in Fin,-0.016203704
2022-08-09,Daily Change in Fin,0.016470588
2022-08-10,Daily Change in Fin,-0.016203704
2022-08-11,Daily Change in Fin,0.004705882
2022-08-12,Daily Change in Fin,-0.007025761
2022-08-15,Daily Change in Fin,-0.011792453
2022-08-16,Daily Change in Fin,0.007159905
2022-08-17,Daily Change in Fin,0.016587678
2022-08-18,Daily Change in Fin,-0.004662005
2022-08-19,Daily Change in Fin,0.021077283
2022-08-22,Daily Change in Fin,0.016055046
2022-08-23,Daily Change in Fin,0.002257336
2022-08-24,Daily Change in Fin,0.006756757
2022-08-25,Daily Change in Fin,-0.013422819
2022-08-26,Daily Change in Fin,0.004535147
2022-08-29,Daily Change in Fin,0.020316027
2022-08-30,Daily Change in Fin,0.002212389
2022-08-31,Daily Change in Fin,0.008830022
2022-09-01,Daily Change in Fin,0.030634573
2022-09-02,Daily Change in Fin,-0.01910828
2022-09-06,Daily Change in Fin,0.03030303
2022-09-07,Daily Change in Fin,-0.012605042
2022-09-08,Daily Change in Fin,0.00212766
2022-09-09,Daily Change in Fin,0.006369427
2022-09-12,Daily Change in Fin,0
2022-09-13,Daily Change in Fin,0.025316456
2022-09-14,Daily Change in Fin,0.002057613
2022-09-15,Daily Change in Fin,0.01026694
2022-09-16,Daily Change in Fin,0.00203252
2022-09-19,Daily Change in Fin,0.010141988
2022-09-20,Daily Change in Fin,0.012048193
2022-09-21,Daily Change in Fin,-0.007936508
2022-09-22,Daily Change in Fin,0.036
2022-09-23,Daily Change in Fin,0.015444015
2022-09-26,Daily Change in Fin,0.030418251
2022-09-27,Daily Change in Fin,0.020295203
2022-09-28,Daily Change in Fin,-0.027124774
2022-09-29,Daily Change in Fin,0.018587361
2022-09-30,Daily Change in Fin,0.001824818
2022-10-03,Daily Change in Fin,-0.023679417
2022-10-04,Daily Change in Fin,-0.013059701
2022-10-05,Daily Change in Fin,0.018903592
2022-10-06,Daily Change in Fin,0.009276438
2022-10-07,Daily Change in Fin,0.012867647
2022-10-11,Daily Change in Fin,0.016333938
2022-10-12,Daily Change in Fin,0.005357143
2022-10-13,Daily Change in Fin,0.017761989
2022-10-14,Daily Change in Fin,0.010471204
2022-10-17,Daily Change in Fin,0
2022-10-18,Daily Change in Fin,-0.003454231
2022-10-19,Daily Change in Fin,0.024263432
2022-10-20,Daily Change in Fin,0.010152284
2022-10-21,Daily Change in Fin,-0.005025126
2022-10-24,Daily Change in Fin,-0.005050505
2022-10-25,Daily Change in Fin,-0.015228426
2022-10-26,Daily Change in Fin,-0.012027491
2022-10-27,Daily Change in Fin,-0.012173913
2022-10-28,Daily Change in Fin,0.012323944
2022-10-31,Daily Change in Fin,0.006956522
2022-11-01,Daily Change in Fin,-0.005181347
2022-11-02,Daily Change in Fin,-0.001736111
2022-11-03,Daily Change in Fin,0.015652174
2022-11-04,Daily Change in Fin,0
2022-11-07,Daily Change in Fin,0.006849315
2022-11-08,Daily Change in Fin,-0.013605442
2022-11-09,Daily Change in Fin,0.003448276
2022-11-10,Daily Change in Fin,-0.051546392
2022-11-14,Daily Change in Fin,0
2022-11-15,Daily Change in Fin,-0.014492754
2022-11-16,Daily Change in Fin,-0.012867647
2022-11-17,Daily Change in Fin,0.013035382
2022-11-18,Daily Change in Fin,0.001838235
2022-11-21,Daily Change in Fin,-0.003669725
2022-11-22,Daily Change in Fin,-0.009208103
2022-11-23,Daily Change in Fin,-0.005576208
2022-11-25,Daily Change in Fin,-0.001869159
2022-11-28,Daily Change in Fin,-0.001872659
2022-11-29,Daily Change in Fin,0.00750469
2022-11-30,Daily Change in Fin,-0.00744879
2022-12-01,Daily Change in Fin,-0.030018762
2022-12-02,Daily Change in Fin,0
2022-12-05,Daily Change in Fin,0.013539652
2022-12-06,Daily Change in Fin,-0.011450382
2022-12-07,Daily Change in Fin,-0.017374517
2022-12-08,Daily Change in Fin,0.013752456
2022-12-09,Daily Change in Fin,0.007751938
2022-12-12,Daily Change in Fin,0.005769231
2022-12-13,Daily Change in Fin,-0.024856597
2022-12-14,Daily Change in Fin,0.003921569
2022-12-15,Daily Change in Fin,-0.001953125
2022-12-16,Daily Change in Fin,0.001956947
2022-01-04,Daily Change in Cons,0.017777778
2022-01-05,Daily Change in Cons,0.008733624
2022-01-06,Daily Change in Cons,0.017316017
2022-01-07,Daily Change in Cons,0.008510638
2022-01-10,Daily Change in Cons,0.016877637
2022-01-11,Daily Change in Cons,-0.012448133
2022-01-12,Daily Change in Cons,0
2022-01-13,Daily Change in Cons,-0.004201681
2022-01-14,Daily Change in Cons,0.029535865
2022-01-18,Daily Change in Cons,0.040983607
2022-01-19,Daily Change in Cons,-0.015748031
2022-01-20,Daily Change in Cons,0.012
2022-01-21,Daily Change in Cons,-0.019762846
2022-01-24,Daily Change in Cons,0
2022-01-25,Daily Change in Cons,0.024193548
2022-01-26,Daily Change in Cons,0.015748031
2022-01-27,Daily Change in Cons,0.011627907
2022-01-28,Daily Change in Cons,0
2022-01-31,Daily Change in Cons,0.003831418
2022-02-01,Daily Change in Cons,-0.003816794
2022-02-02,Daily Change in Cons,-0.01532567
2022-02-03,Daily Change in Cons,0.027237354
2022-02-04,Daily Change in Cons,0.049242424
2022-02-07,Daily Change in Cons,-0.007220217
2022-02-08,Daily Change in Cons,0.010909091
2022-02-09,Daily Change in Cons,-0.007194245
2022-02-10,Daily Change in Cons,0.050724638
2022-02-11,Daily Change in Cons,-0.017241379
2022-02-14,Daily Change in Cons,0.024561404
2022-02-15,Daily Change in Cons,0.006849315
2022-02-16,Daily Change in Cons,0.006802721
2022-02-17,Daily Change in Cons,-0.006756757
2022-02-18,Daily Change in Cons,0
2022-02-22,Daily Change in Cons,0.020408163
2022-02-23,Daily Change in Cons,0.006666667
2022-02-24,Daily Change in Cons,0.016556291
2022-02-25,Daily Change in Cons,-0.006514658
2022-02-28,Daily Change in Cons,-0.045901639
2022-03-01,Daily Change in Cons,-0.06185567
2022-03-02,Daily Change in Cons,0.065934066
2022-03-03,Daily Change in Cons,-0.003436426
2022-03-04,Daily Change in Cons,-0.017241379
2022-03-07,Daily Change in Cons,0.031578947
2022-03-08,Daily Change in Cons,0.051020408
2022-03-09,Daily Change in Cons,0.01618123
2022-03-10,Daily Change in Cons,0.02866242
2022-03-11,Daily Change in Cons,0.00619195
2022-03-14,Daily Change in Cons,0.046153846
2022-03-15,Daily Change in Cons,0.002941176
2022-03-16,Daily Change in Cons,-0.002932551
2022-03-17,Daily Change in Cons,-0.023529412
2022-03-18,Daily Change in Cons,-0.015060241
2022-03-21,Daily Change in Cons,0.042813456
2022-03-22,Daily Change in Cons,0.008797654
2022-03-23,Daily Change in Cons,-0.020348837
2022-03-24,Daily Change in Cons,0.011869436
2022-03-25,Daily Change in Cons,0.041055718
2022-03-28,Daily Change in Cons,-0.002816901
2022-03-29,Daily Change in Cons,-0.028248588
2022-03-30,Daily Change in Cons,-0.014534884
2022-03-31,Daily Change in Cons,-0.01179941
2022-04-01,Daily Change in Cons,0.023880597
2022-04-04,Daily Change in Cons,0.002915452
2022-04-05,Daily Change in Cons,0.026162791
2022-04-06,Daily Change in Cons,0.014164306
2022-04-07,Daily Change in Cons,0.005586592
2022-04-08,Daily Change in Cons,0.022222222
2022-04-11,Daily Change in Cons,0.019021739
2022-04-12,Daily Change in Cons,-0.013333333
2022-04-13,Daily Change in Cons,0
2022-04-14,Daily Change in Cons,0.024324324
2022-04-18,Daily Change in Cons,0.013192612
2022-04-19,Daily Change in Cons,0.018229167
2022-04-20,Daily Change in Cons,-0.012787724
2022-04-21,Daily Change in Cons,0.028497409
2022-04-22,Daily Change in Cons,0.010075567
2022-04-25,Daily Change in Cons,-0.014962594
2022-04-26,Daily Change in Cons,-0.017721519
2022-04-27,Daily Change in Cons,0.010309278
2022-04-28,Daily Change in Cons,0.015306122
2022-04-29,Daily Change in Cons,0.010050251
2022-05-02,Daily Change in Cons,0.029850746
2022-05-03,Daily Change in Cons,-0.009661836
2022-05-04,Daily Change in Cons,-0.017073171
2022-05-05,Daily Change in Cons,0.022332506
2022-05-06,Daily Change in Cons,0.014563107
2022-05-09,Daily Change in Cons,-0.007177033
2022-05-10,Daily Change in Cons,-0.009638554
2022-05-11,Daily Change in Cons,-0.01459854
2022-05-12,Daily Change in Cons,-0.014814815
2022-05-13,Daily Change in Cons,0.027568922
2022-05-16,Daily Change in Cons,-0.007317073
2022-05-17,Daily Change in Cons,0.027027027
2022-05-18,Daily Change in Cons,-0.007177033
2022-05-19,Daily Change in Cons,-0.002409639
2022-05-20,Daily Change in Cons,-0.009661836
2022-05-23,Daily Change in Cons,0.009756098
2022-05-24,Daily Change in Cons,-0.024154589
2022-05-25,Daily Change in Cons,-0.017326733
2022-05-26,Daily Change in Cons,-0.012594458
2022-05-27,Daily Change in Cons,-0.00255102
2022-05-31,Daily Change in Cons,0.015345269
2022-06-01,Daily Change in Cons,0.020151134
2022-06-02,Daily Change in Cons,-0.002469136
2022-06-03,Daily Change in Cons,0.00990099
2022-06-06,Daily Change in Cons,0.017156863
2022-06-07,Daily Change in Cons,-0.009638554
2022-06-08,Daily Change in Cons,0.01216545
2022-06-09,Daily Change in Cons,0.009615385
2022-06-10,Daily Change in Cons,0.045238095
2022-06-13,Daily Change in Cons,0.066059226
2022-06-14,Daily Change in Cons,0.021367521
2022-06-15,Daily Change in Cons,-0.025104603
2022-06-16,Daily Change in Cons,-0.006437768
2022-06-17,Daily Change in Cons,-0.010799136
2022-06-21,Daily Change in Cons,0.010917031
2022-06-22,Daily Change in Cons,-0.019438445
2022-06-23,Daily Change in Cons,-0.011013216
2022-06-24,Daily Change in Cons,0.006681514
2022-06-27,Daily Change in Cons,0.013274336
2022-06-28,Daily Change in Cons,0.006550218
2022-06-29,Daily Change in Cons,-0.019522777
2022-06-30,Daily Change in Cons,-0.017699115
2022-07-01,Daily Change in Cons,-0.009009009
2022-07-05,Daily Change in Cons,-0.011363636
2022-07-06,Daily Change in Cons,0.016091954
2022-07-07,Daily Change in Cons,0.009049774
2022-07-08,Daily Change in Cons,0.013452915
2022-07-11,Daily Change in Cons,-0.019911504
2022-07-12,Daily Change in Cons,-0.004514673
2022-07-13,Daily Change in Cons,0
2022-07-14,Daily Change in Cons,0.006802721
2022-07-15,Daily Change in Cons,-0.009009009
2022-07-18,Daily Change in Cons,0
2022-07-19,Daily Change in Cons,0.011363636
2022-07-20,Daily Change in Cons,-0.002247191
2022-07-21,Daily Change in Cons,-0.029279279
2022-07-22,Daily Change in Cons,-0.025522042
2022-07-25,Daily Change in Cons,0.00952381
2022-07-26,Daily Change in Cons,0.004716981
2022-07-27,Daily Change in Cons,-0.016431925
2022-07-28,Daily Change in Cons,-0.014319809
2022-07-29,Daily Change in Cons,-0.00968523
2022-08-01,Daily Change in Cons,-0.007334963
2022-08-02,Daily Change in Cons,0.032019704
2022-08-03,Daily Change in Cons,0.002386635
2022-08-04,Daily Change in Cons,-0.016666667
2022-08-05,Daily Change in Cons,0.03874092
2022-08-08,Daily Change in Cons,-0.013986014
2022-08-09,Daily Change in Cons,0.011820331
2022-08-10,Daily Change in Cons,-0.011682243
2022-08-11,Daily Change in Cons,0.007092199
2022-08-12,Daily Change in Cons,-0.007042254
2022-08-15,Daily Change in Cons,-0.011820331
2022-08-16,Daily Change in Cons,0.007177033
2022-08-17,Daily Change in Cons,0.019002375
2022-08-18,Daily Change in Cons,-0.002331002
2022-08-19,Daily Change in Cons,0.021028037
